DATE,IRLTLT01EZM156N
2014-09-01,1.8485
2014-10-01,1.6899
2014-11-01,1.6171
2014-12-01,1.4478
2015-01-01,1.268
2015-02-01,1.2106
2015-03-01,0.9518
2015-04-01,0.8508
2015-05-01,1.333
2015-06-01,1.6651
2015-07-01,1.5286
2015-08-01,1.3923
2015-09-01,1.4809
2015-10-01,1.2032
2015-11-01,1.1532
2015-12-01,1.1933
2016-01-01,1.1129
2016-02-01,1.0397
2016-03-01,0.9306
2016-04-01,0.9614
2016-05-01,0.971
2016-06-01,0.883
2016-07-01,0.6209
2016-08-01,0.6133
2016-09-01,0.7341
2016-10-01,0.7703
2016-11-01,1.2307
2016-12-01,1.2851
2017-01-01,1.3089
2017-02-01,1.438
2017-03-01,1.4544
2017-04-01,1.26
2017-05-01,1.1733
2017-06-01,1.0707
2017-07-01,1.2068
2017-08-01,1.0441
2017-09-01,1.1149
2017-10-01,1.1489
2017-11-01,0.9467
2017-12-01,0.8786
2018-01-01,1.0321
2018-02-01,1.2695
2018-03-01,1.1688
2018-04-01,1.1261
2018-05-01,1.2344
2018-06-01,1.2885
2018-07-01,1.1986
2018-08-01,1.3655
2018-09-01,1.3199
2018-10-01,1.5554
2018-11-01,1.4059
2018-12-01,1.2121
2019-01-01,1.2022
2019-02-01,1.1199
2019-03-01,0.9908
2019-04-01,0.951
2019-05-01,0.8711
2019-06-01,0.5741
2019-07-01,0.3569
2019-08-01,0.0993
2019-09-01,0.0478
2019-10-01,0.1325
2019-11-01,0.3016
2019-12-01,0.3662
2020-01-01,0.3162
